hospitalizacion_id,rut,nombre_completo,fecha_nacimiento,sexo,comuna,prevision,fecha_ingreso,fecha_egreso,motivo_egreso,medico_responsable,dias_estadia,numero_cama,servicio,tipo_cama,codigo_cie10,diagnostico,categoria_diagnostico,edad_ingreso,grupo_etario
1,24.094.650-5,Fernanda Cofré,2002-06-18,F,Los Sauces,FONASA,2025-05-21 09:12:20.011789,2025-06-07 09:12:20.011789,Alta voluntaria,Gladys Carrasco Aguilar,17.0,CAR-340,Cardiología,Media,I10.X,Hipertensión esencial primaria,Cardiovascular,22,15-29
2,22.598.060-8,Carla Mena,1961-09-09,F,San Bernardo,NINGUNA,2025-07-15 04:13:50.011789,2025-08-03 04:13:50.011789,Fallecimiento,Josefa Espinoza Jara,19.0,CIR-274,Cirugía,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,63,60-74
3,22.939.377-4,Iván Lillo,1983-06-09,M,Cobquecura,ISAPRE,2026-02-22 04:01:17.011789,2026-03-10 04:01:17.011789,Alta voluntaria,Gladys Carrasco Aguilar,16.0,CIR-520,Cirugía,Básica,J06.9,Infección aguda vías respiratorias superiores,Respiratorio,42,30-44
4,6.143.653-7,Karen Villegas,1983-11-25,F,Santa Juana,NINGUNA,2025-11-26 12:16:05.011789,2025-12-15 12:16:05.011789,Fallecimiento,Sofía Córdova,19.0,TRA-062,Traumatología,Básica,E11.9,Diabetes mellitus tipo 2 sin complicaciones,Metabólico,42,30-44
5,14.474.566-3,Agustina Peñaloza,1987-05-22,F,Palmilla,FONASA,2025-03-11 23:45:21.011789,,En curso,Carlos Francisco Rodríguez Salinas,,MED-243,Medicina Interna,Básica,E86.0,Deshidratación,Metabólico,37,30-44
6,23.036.100-2,Francia Alarcón,1994-07-29,F,Lautaro,NINGUNA,2025-09-10 11:39:13.011789,,En curso,María Carrasco,,NEU-196,Neurología,Alta Complejidad,I50.9,"Insuficiencia cardíaca, no especificada",Cardiovascular,31,30-44
7,14.895.491-7,Luis Gallegos,1941-05-14,M,Puyehue,ISAPRE,2025-04-10 11:17:17.011789,,En curso,Juan Patricio Núñez Letelier,,NEU-540,Neurología,Alta Complejidad,N39.0,"Infección urinaria, sitio no especificado",Urológico,83,75+
8,11.956.868-4,Patricio Ortiz,1994-05-30,M,Ñuñoa,NINGUNA,2025-03-24 13:47:26.011789,2025-03-28 13:47:26.011789,Alta médica,Ian José Orellana Cisternas,4.0,TRA-338,Traumatología,Media,K35.9,"Apendicitis aguda, no especificada",Digestivo,30,30-44
9,12.927.867-6,Francisco Peralta,1946-12-30,M,Chillán,FONASA,2025-10-31 16:40:46.011789,2025-11-06 16:40:46.011789,Fallecimiento,Gladys Carrasco Aguilar,6.0,TRA-373,Traumatología,Básica,K92.1,Melena,Digestivo,78,75+
10,16.985.455-6,Cristian García,1973-11-16,M,Laja,FONASA,2025-11-03 01:33:06.011789,2025-11-10 01:33:06.011789,Traslado,Josefa Espinoza Jara,7.0,UCI-010,UCI,Básica,S06.9,"Traumatismo intracraneal, no especificado",Neurológico,52,45-59
