paciente_id,rut,nombre,apellido,fecha_nacimiento,sexo,comuna,prevision,fecha_registro
1,16.404.320-7,Agustina,Silva,2003-07-29,F,Nacimiento,NINGUNA,2026-02-28 12:35:33.736666
2,5.086.075-2,Paola,Saavedra,1959-04-01,F,Paredones,NINGUNA,2026-02-28 12:35:33.743333
3,24.694.361-3,Sandra,Cáceres,1979-06-19,F,La Ligua,NINGUNA,2026-02-28 12:35:33.743333
4,9.986.034-0,Uberlinda,Méndez,1970-05-21,F,Vichuquén,NINGUNA,2026-02-28 12:35:33.746666
5,16.580.437-6,Inés,Peña,1962-08-15,F,Iquique,NINGUNA,2026-02-28 12:35:33.750000
6,20.278.829-7,Gina,Cárdenas,2003-06-25,F,Coinco,ISAPRE,2026-02-28 12:35:33.753333
7,13.012.984-6,Aldo,Moraga,1978-11-29,M,Isla de Maipo,ISAPRE,2026-02-28 12:35:33.756666
8,18.783.325-6,Eduardo,Carrasco,1942-12-20,M,Tiltil,ISAPRE,2026-02-28 12:35:33.760000
9,17.791.994-2,Solange,Rozas,1966-04-10,F,Corral,NINGUNA,2026-02-28 12:35:33.760000
10,21.620.471-9,Julio,Concha,2005-08-27,M,Pelluhue,FONASA,2026-02-28 12:35:33.763333
11,21.854.094-5,Segundo,Martínez,2005-09-09,M,Cabrero,NINGUNA,2026-02-28 12:35:33.766666
12,8.367.677-9,Valentina,Vargas,1999-06-28,F,Panquehue,ISAPRE,2026-02-28 12:35:33.770000
13,22.647.989-9,Maximiliano,Guzmán,2001-12-15,M,Canela,ISAPRE,2026-02-28 12:35:33.773333
14,9.837.053-6,Carlos,Quezada,1967-11-25,M,San Joaquín,NINGUNA,2026-02-28 12:35:33.873333
15,7.510.819-2,Germán,Ruiz,1971-12-13,M,San Fabián,ISAPRE,2026-02-28 12:35:33.896666
16,18.337.327-7,Ana,Sáez,1984-03-21,F,Litueche,FONASA,2026-02-28 12:35:33.900000
17,22.905.393-0,Alejandra,Ramos,1965-11-10,F,Pudahuel,ISAPRE,2026-02-28 12:35:33.903333
18,23.153.485-7,Daniela,Muñoz,1942-06-11,F,Cochamó,NINGUNA,2026-02-28 12:35:33.906666
19,12.877.582-K,Francisco,Altamirano,1982-12-13,M,Juan Fernández,NINGUNA,2026-02-28 12:35:33.910000
20,12.633.172-K,Bárbara,Reyes,1990-10-25,F,La Unión,FONASA,2026-02-28 12:35:33.913333
